CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,667756347,SilentVader,SilentVader#5511,0
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,0
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,492994246,Chaunce,Chaunce#1601,0
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,296684579,ṪѦ DerHesse1505,DerHesse1505 (TB Offi)#9876,0
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,691769393,Hulkster,Hulkster#4141,0
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,114649229,ìN Paca,Paca#8479,0
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,815682328,SotDO,SotDo#3618,0
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,852762117,Revanchist,Revanchist#9559,60
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,349451219,Robbie Brady,Robbie Brady#7103,19
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,283842274,JustinAlexander11,JustinAlexander11#1023,19
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,499615124,Anubis,⁦Bellhharar⁩#0560,63
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,245711569,Promethean,Promethean#3008,20
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,996614779,Jables,Jables#9173,31
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,615713739,Ky Zeth,Ky Zeth#6539,18
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,19
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,436483225,Dr N00b,Thɑɳɑthѳs#6579,55
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,946916445,ExcellentNut,⁦ExcellentNut⁩#0656,113
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,114649229,ìN Paca,Paca#8479,110
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,296684579,ṪѦ DerHesse1505,DerHesse1505 (TB Offi)#9876,27
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,929389526,Tommyboy85,tommyboy#3739,58
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,268951863,Loadage,Loadage#1450,81
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,214848174,ilekkund,ilekkund#8475,47
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,148163689,ilekkund2,ilekkund#8475,37
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,242144976,MINI xipokemastrix,xIPokemastrIx#2005,38
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,572892187,WookieeWarrior,teepeepdx#7802,20
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,435886464,Z Xm,Z_Xm#5894,35
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,732694944,Savage1bat,⁦savage1bat⁩#7887,75
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,354754647,BladeBR,Edem#5643,76
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,843553429,Shotwell,Shotwell#0501,68
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,34
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,997239157,Gryphix,Gryphix#1116,36
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,165968689,RC1262,vaalok#4807,49
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,798445437,Kaytee Glopio,Kaytee Glopio#6445,74
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,691769393,Hulkster,Hulkster#4141,81
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,634487631,JacenCaedus,Sala#2238,20
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,932489599,MINI Azryl,Azryl#1591,37
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,513125742,MarkKenoburger,kenoburger#9903,33
