CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score
1.66326E+12,vs. HeIIskitchen,attack_stars,843553429,Shotwell,Shotwell#0501,184
1.66326E+12,vs. HeIIskitchen,attack_stars,997239157,Gryphix,Gryphix#1116,78
1.66326E+12,vs. HeIIskitchen,attack_stars,798445437,Kaytee Glopio,Kaytee Glopio#6445,179
1.66326E+12,vs. HeIIskitchen,attack_stars,634487631,JacenCaedus,Sala#2238,74
1.66326E+12,vs. HeIIskitchen,attack_stars,691769393,Hulkster,Hulkster#4141,120
1.66326E+12,vs. HeIIskitchen,attack_stars,825875376,Zlada14,zlada14#0537,181
1.66326E+12,vs. HeIIskitchen,attack_stars,932489599,MINI Azryl,Azryl#1591,163
1.66326E+12,vs. HeIIskitchen,attack_stars,513125742,MarkKenoburger,kenoburger#9903,138
1.66326E+12,vs. HeIIskitchen,attack_stars,884121445,Nom,Nom Polustra#4120,117
1.66326E+12,vs. HeIIskitchen,attack_stars,716417922,TinyBubbles,TinyBubbles31#0228,78
1.66326E+12,vs. HeIIskitchen,attack_stars,994659641,OttoVonGens,OttoVonGens#2822,79
1.66326E+12,vs. HeIIskitchen,attack_stars,933247321,Epsil0n Actual,RandyCliptic#9400,217
1.66326E+12,vs. HeIIskitchen,attack_stars,545871634,Argarax,Kazrud#2235,194
1.66326E+12,vs. HeIIskitchen,attack_stars,975827772,Tornado,tornado#478,274
1.66326E+12,vs. HeIIskitchen,attack_stars,815682328,SotDO,SotDo#3618,220
1.66326E+12,vs. HeIIskitchen,attack_stars,745483876,Foreigner,â¦Foreignerâ©#2714,243
1.66326E+12,vs. HeIIskitchen,attack_stars,137256197,Japolock,Japolock#2870,236
1.66326E+12,vs. HeIIskitchen,attack_stars,492994246,Chaunce,Chaunce#1601,145
1.66326E+12,vs. HeIIskitchen,attack_stars,473373554,Baxston Kane,Baxston Kane#5600,58
1.66326E+12,vs. HeIIskitchen,attack_stars,736639474,Deadly F A R T,â¦Deadly F A R Tâ©#1186,217
1.66326E+12,vs. HeIIskitchen,attack_stars,667756347,SilentVader,SilentVader#5511,181
1.66326E+12,vs. HeIIskitchen,attack_stars,617569541,MINI Zan Lucian,Zan Lucian#8522,186
1.66326E+12,vs. HeIIskitchen,attack_stars,259921674,BlackMamba,Jeremy#5183,405
1.66326E+12,vs. HeIIskitchen,attack_stars,938542548,Sultan2309,Sultan2309#7453,173
1.66326E+12,vs. HeIIskitchen,attack_stars,619572297,Raion Ren,raion_ren#6463,0
1.66326E+12,vs. HeIIskitchen,disobey,852762117,Revanchist,Revanchist#9559,11
1.66326E+12,vs. HeIIskitchen,disobey,349451219,Robbie Brady,Robbie Brady#7103,2
1.66326E+12,vs. HeIIskitchen,disobey,283842274,JustinAlexander11,JustinAlexander11#1023,6
1.66326E+12,vs. HeIIskitchen,disobey,245711569,Promethean,Promethean#3008,9
1.66326E+12,vs. HeIIskitchen,disobey,996614779,Jables,Jables#9173,6
1.66326E+12,vs. HeIIskitchen,disobey,569523671,Seeya,Seeya#2985,10
1.66326E+12,vs. HeIIskitchen,disobey,615713739,Ky Zeth,Ky Zeth#6539,21
1.66326E+12,vs. HeIIskitchen,disobey,436483225,Dr N00b,ThÉ‘É³É‘thÑ³s#6579,22
1.66326E+12,vs. HeIIskitchen,disobey,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,11
1.66326E+12,vs. HeIIskitchen,disobey,946916445,ExcellentNut,ExcellentNut#0656,11
1.66326E+12,vs. HeIIskitchen,disobey,114649229,Ã¬N Paca,â¦Pacaâ©#8479,23
1.66326E+12,vs. HeIIskitchen,disobey,929389526,Tommyboy85,tommyboy#3739,12
1.66326E+12,vs. HeIIskitchen,disobey,556569861,wamakima5004,wamakima5004#0097,2
1.66326E+12,vs. HeIIskitchen,disobey,753225541,Philo Beddoe,Handleman20#4805,2
1.66326E+12,vs. HeIIskitchen,disobey,268951863,Loadage,Loadage#1450,12
1.66326E+12,vs. HeIIskitchen,disobey,214848174,ilekkund,ilekkund#8475,10
1.66326E+12,vs. HeIIskitchen,disobey,148163689,ilekkund2,ilekkund#8475,8
1.66326E+12,vs. HeIIskitchen,disobey,242144976,MINI xipokemastrix,xIPokemastrIx#2005,4
1.66326E+12,vs. HeIIskitchen,disobey,515621617,Flywire,Flywire#0662,4
1.66326E+12,vs. HeIIskitchen,disobey,435886464,Z Xm,Z_Xm#5894,5
1.66326E+12,vs. HeIIskitchen,disobey,732694944,Savage1bat,â¦savage1batâ©#7887,15
1.66326E+12,vs. HeIIskitchen,disobey,354754647,BladeBR,Edem#5643,17
1.66326E+12,vs. HeIIskitchen,disobey,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,8
1.66326E+12,vs. HeIIskitchen,disobey,843553429,Shotwell,Shotwell#0501,16
1.66326E+12,vs. HeIIskitchen,disobey,997239157,Gryphix,Gryphix#1116,4
1.66326E+12,vs. HeIIskitchen,disobey,798445437,Kaytee Glopio,Kaytee Glopio#6445,9
1.66326E+12,vs. HeIIskitchen,disobey,634487631,JacenCaedus,Sala#2238,4
1.66326E+12,vs. HeIIskitchen,disobey,691769393,Hulkster,Hulkster#4141,7
1.66326E+12,vs. HeIIskitchen,disobey,825875376,Zlada14,zlada14#0537,10
1.66326E+12,vs. HeIIskitchen,disobey,932489599,MINI Azryl,Azryl#1591,11
1.66326E+12,vs. HeIIskitchen,disobey,513125742,MarkKenoburger,kenoburger#9903,10
1.66326E+12,vs. HeIIskitchen,disobey,884121445,Nom,Nom Polustra#4120,6
1.66326E+12,vs. HeIIskitchen,disobey,716417922,TinyBubbles,TinyBubbles31#0228,6
1.66326E+12,vs. HeIIskitchen,disobey,994659641,OttoVonGens,OttoVonGens#2822,4
1.66326E+12,vs. HeIIskitchen,disobey,545871634,Argarax,Kazrud#2235,10
1.66326E+12,vs. HeIIskitchen,disobey,933247321,Epsil0n Actual,RandyCliptic#9400,11
1.66326E+12,vs. HeIIskitchen,disobey,975827772,Tornado,tornado#478,14
1.66326E+12,vs. HeIIskitchen,disobey,815682328,SotDO,SotDo#3618,14
1.66326E+12,vs. HeIIskitchen,disobey,745483876,Foreigner,â¦Foreignerâ©#2714,14
1.66326E+12,vs. HeIIskitchen,disobey,137256197,Japolock,Japolock#2870,13
1.66326E+12,vs. HeIIskitchen,disobey,492994246,Chaunce,Chaunce#1601,8
1.66326E+12,vs. HeIIskitchen,disobey,473373554,Baxston Kane,Baxston Kane#5600,3
1.66326E+12,vs. HeIIskitchen,disobey,736639474,Deadly F A R T,â¦Deadly F A R Tâ©#1186,12
1.66326E+12,vs. HeIIskitchen,disobey,667756347,SilentVader,SilentVader#5511,10
1.66326E+12,vs. HeIIskitchen,disobey,617569541,MINI Zan Lucian,Zan Lucian#8522,12
1.66326E+12,vs. HeIIskitchen,disobey,259921674,BlackMamba,Jeremy#5183,22
1.66326E+12,vs. HeIIskitchen,disobey,938542548,Sultan2309,Sultan2309#7453,10
1.66326E+12,vs. HeIIskitchen,disobey,619572297,Raion Ren,raion_ren#6463,0
